,id,name,com1,com2,Segment K-means PCA
397,71tnorDlCFZ4g2c1VEaQkR,C'est Jeune Et Ca N'sait Pas,1.8549254151717827,-1.7402996961919772,1
398,7EvnfhaPaXURHPoLaFZyRE,Ave María - Remasterizado,2.35758642730248,-1.1103706258365689,1
402,7dkz2VUbSc7Q884erTp7pG,You Can't Fool a Broken Heart,1.3988931440419203,-1.0050920577249103,1
404,7uLMgGFcaP2GFyyXzcgSXj,Ma Chanson,2.131379213643225,-0.674379993833618,1
405,7xHvQztpZzhaR9JRaeXDhM,Si Tu Vois Ma Tante,1.2454574064522679,-1.3203759212310244,1
406,6rEw2OvQHSwaPfYSv9proK,In My Merry Oldsmobile,1.527711019088399,-1.0239681259505395,1
407,59UEylF5pnWCXm91Hzk2Q9,Mississippi Mud (feat. Bix Beiderbecke),0.565608873093917,-1.3693368794029095,1
408,0JisTodwlw4iokUY4zEfMb,Low Gravy,1.245894699158209,-0.96189801736367,1
409,5l3GHotrnIYZcaxvDgHbst,Changes,1.23692281168124,-1.402927983963697,1
410,3mKyLrlesMkJpHAarbeXCU,Sunday,1.2408287805201756,-1.890078612739284,1
411,5fihSggqWM5vABDBrKxGhE,Slow River,2.0950711216045326,-0.8759165890883265,1
412,6ElNcnaA5qDK4VlXrLrqvx,I'm Looking Over a Four-Leaf Clover (feat. Bix Beiderbecke),0.9422459980778115,-1.6954752267843083,1
413,7zdqEebfxYBKKYfLpRDcZb,My Pretty Girl,1.1996738654599195,-1.142739562189163,1
414,0B6ttII7PpRQXgreuJCLv1,Barnacle Bill The Sailor,0.40966876476157543,-1.3874565946170505,1
415,7AO6HiSVKT8WjYGc5Oh9ws,I Didn't Know,1.2047422132996763,-1.103742673567552,1
416,3t9Atfmz1AsCUoltGcOWm6,Idolizing,1.33054069219042,-1.2950830186982576,1
417,4qdExp8yEjjREnW6qe59qT,There Ain't No Sweet Man That's Worth the Salt of My Tears,2.2156785467289817,-0.5998299555226013,1
419,6tWzn21SATD02S0ts7BSPA,San,1.6555053382489655,-1.1507329283632248,1
420,7otUCdCHZmbKknO9fVKSNx,Clementine (From New Orleans) - Remastered 1989,1.7421905714776313,-1.3782763885454186,1
421,0WpK3FoUfvOcfTtU6X0hbH,Sugar,1.7046548375102035,-1.2489420089582375,1
422,1WVXxCQtAvzwerdF1oBiXy,Bessie Couldn't Help It,1.0005624496016112,-1.6585097686019186,1
423,1eesahm8KPMP9hTEv9W3QL,Lonely Melody,1.7527042385595064,-0.6334789251058651,1
424,3JCJs6b2Midbvum3qechgd,Dardanella,1.592041578065145,-0.9061117186818722,1
425,3iBSWcxxl5xrw5w5iDYIFq,I'm Proud of a Baby Like You,1.1383633557678923,-1.5885573653132339,1
426,4Lf3YhfAE55vTfRyj5SUIq,Rockin' Chair,1.1491291191579873,-1.9446438664453605,1
427,4SQ6xU6Q9AP6bua8bldBoe,Coquette,2.1568786803068694,-1.3559347954636147,1
428,5vZwWZvoqDYiDqO6u7fIZm,(What Are You Waiting For) Mary,1.3393258446759655,-0.8154581437547306,1
431,0mvVIlqmAJnk4S1zWz8Pye,(What Did I Do to Be So) Black and Blue,1.8530168538285146,-0.8434488954233063,1
432,0xOgGPN7fDszF6wLpPBE6r,"Deep Down South (From ""Pardon My Gun"")",1.2563929375922926,-0.9171129749961824,1
434,3pKHJwxKDCnhv6I5Jqhz8s,From Monday On (with Bing Crosby & Bix Beiderbecke),1.2835518168749716,-1.0158092175963778,1
435,3sTY4w8SiETVl4BJyGTNpd,Hoosier Sweetheart,1.0813271497561083,-1.6407932120631759,1
436,4SGCTwZyY0uTOJuMMsYKWl,"I'll Be a Friend ""With Pleasure""",1.6335503655762529,-0.13927230606508434,1
437,4YJ5hX2TZiBMAlwcUyfu8c,I Don't Mind Walking in the Rain (If I'm Walking in the Rain with You),1.646398101445024,-0.635199312255825,1
